#,,,,,
pl_name,ra,dec,sy_dist,sy_disterr1,sy_disterr2
CoRoT-13 b,102.7211432,-5.0864557,1148.93,62.12,-56.15
CoRoT-14 b,103.4242023,-5.5360385,1744.6,173.03,-144.9
CoRoT-16 b,278.5246658,-6.0026026,732.409,35.344,-32.282
CoRoT-17 b,278.699236,-6.612288,1176.12,57.17,-52.19
CoRoT-18 b,98.1724172,-0.0316045,764.889,27.614,-25.784
CoRoT-19 b,97.0335983,-0.1707293,790.663,26.737,-25.071
CoRoT-2 b,291.7770457,1.3836634,213.283,2.485,-2.43
CoRoT-20 b,97.7204249,0.2268931,844.061,24.171,-22.883
CoRoT-20 c,97.7204249,0.2268931,844.061,24.171,-22.883
CoRoT-22 b,280.6671392,6.2191669,627.158,11.187,-10.808
CoRoT-23 b,279.7826586,4.3577516,1060.97,45.47,-41.94
CoRoT-24 b,101.922543,-3.7192892,591.555,16.043,-15.232
CoRoT-24 c,101.922543,-3.7192892,591.555,16.043,-15.232
CoRoT-25 b,280.6296561,6.5138223,1103.48,44.28,-41.05
CoRoT-27 b,278.4958319,5.5383811,1010.28,69.26,-61.036
CoRoT-28 b,278.6883216,5.5736911,766.183,14.685,-14.152
CoRoT-29 b,278.9020691,6.4795703,806.507,44.027,-39.76
CoRoT-3 b,292.0552827,0.1218359,768.771,30.791,-28.545
CoRoT-30 b,277.6011767,6.8359338,1032.23,48.57,-44.467
CoRoT-31 b,94.820735,-4.4222978,2005.76,169.79,-145.71
CoRoT-35 b,289.3143526,-2.7747085,1123.21,55.9,-50.92
CoRoT-36 b,277.7510149,7.1833465,925.958,27.796,-26.247
CoRoT-4 b,102.1946233,-0.6727861,726.412,15.181,-14.582
CoRoT-5 b,101.2772396,0.8152163,882.472,25.62,-25.62
CoRoT-6 b,281.0725563,6.6632062,645.294,12.453,-11.997
CoRoT-7 b,100.9561682,-1.0630076,159.906,0.917,-0.906
CoRoT-7 c,100.9561682,-1.0630076,159.906,0.917,-0.906
CoRoT-7 d,100.9561682,-1.0630076,159.906,0.917,-0.906
CoRoT-8 b,291.5885696,1.4262972,322.037,2.714,-2.714
CoRoT-9 b,280.7866461,6.2040783,412.98,4.725,-4.622
CoRoTID 223977153 b,100.1951714,9.2573953,576.683,10.436,-10.436
DE CVn b,201.7207198,45.5455449,30.5225,0.0284,-0.0285
DH Tau b,67.4231674,26.5493897,134.846,1.282,-1.258
DMPP-1 b,86.7761233,-10.6303217,62.5388,0.1782,-0.1773
DMPP-1 c,86.7761233,-10.6303217,62.5388,0.1782,-0.1773
DMPP-1 d,86.7761233,-10.6303217,62.5388,0.1782,-0.1773
DMPP-1 e,86.7761233,-10.6303217,62.5388,0.1782,-0.1773
DMPP-2 b,27.407731,-34.4590985,137.94,0.681,-0.675
DMPP-3 A b,91.624382,-72.5126648,45.23,1.6,-1.72
DMPP-4 b,293.5826648,51.2358069,25.3284,0.0382,-0.038
DP Leo b,169.3162193,17.9615717,305.684,33.554,-27.604
DS Tuc A b,354.9154673,-69.196043,44.0622,0.0693,-0.0691
EPIC 201238110 b,179.7058532,-3.3894613,159.259,1.414,-1.39
EPIC 201427007 b,184.6021322,-0.5512886,706.391,16.79,-16.79
EPIC 201497682 b,168.9366786,0.4880606,253.026,1.664,-1.664
EPIC 201595106 b,183.7203635,1.9681688,232.1,2.706,-2.646
EPIC 201615463 c,185.1880932,2.2823788,476.882,9.692,-9.321
EPIC 201754305 d,175.0972238,4.5574311,334.967,4.1785,-4.1785
EPIC 201833600 c,169.483654,5.988289,257.443,3.239,-3.239
EPIC 201841433 b,175.206752,6.1348146,436.488,8.178001,-7.888
EPIC 205950854 c,333.1100738,-16.3418863,243.935,4.239,-4.099
EPIC 206024342 b,331.2771441,-14.1218019,369.888,4.99,-4.86
EPIC 206024342 c,331.2771441,-14.1218019,369.888,4.99,-4.86
EPIC 206024342 d,331.2771441,-14.1218019,369.888,4.99,-4.86
EPIC 206032309 b,341.2404563,-13.9011223,161.365,1.793,-1.793
EPIC 206042996 b,337.5136198,-13.6101475,451.769,13.976,-13.176
EPIC 206042996 c,337.5136198,-13.6101475,451.769,13.976,-13.176
EPIC 206215704 b,335.0949721,-9.5097112,109.888,1.08,-1.08
EPIC 206317286 b,337.6178427,-7.972456,314.35,2.936,-2.882
EPIC 206317286 c,337.6178427,-7.972456,314.35,2.936,-2.882
EPIC 211822797 b,130.4102091,17.6399744,186.197,1.3645,-1.3645
EPIC 211945201 b,136.5741931,19.4020565,181.69,1.295,-1.277
